gse	truth	claude_pred	gpt4o_pred	claude_tp	claude_fp	claude_fn	claude_match	gpt4o_match	input_tokens	output_tokens	cache_read	error
GSE161826	http://www.ebi.ac.uk/efo/EFO_0000606	http://www.ebi.ac.uk/efo/EFO_0000606	http://www.ebi.ac.uk/efo/EFO_0000606	1	0	0	True	True	13624	91	0	
GSE20402	http://www.ebi.ac.uk/efo/EFO_0007728	http://www.ebi.ac.uk/efo/EFO_0007728	http://www.ebi.ac.uk/efo/EFO_0007728	1	0	0	True	True	3167	113	17820	
GSE27282	http://www.ebi.ac.uk/efo/EFO_0000606,http://www.ebi.ac.uk/efo/EFO_0005184	http://www.ebi.ac.uk/efo/EFO_0000606,http://www.ebi.ac.uk/efo/EFO_0005184	http://www.ebi.ac.uk/efo/EFO_0000606,http://www.ebi.ac.uk/efo/EFO_0005184	2	0	0	True	True	7788	352	17820	
GSE17869	http://www.ebi.ac.uk/efo/EFO_0022397	http://www.ebi.ac.uk/efo/EFO_0000606	http://www.ebi.ac.uk/efo/EFO_0022397	0	1	1	False	True	2055	119	17820	
GSE262291	http://www.ebi.ac.uk/efo/EFO_0020093	http://www.ebi.ac.uk/efo/EFO_0020093	http://www.ebi.ac.uk/efo/EFO_0020093	1	0	0	True	True	12215	167	0	
GSE99114	http://www.ebi.ac.uk/efo/EFO_0022397	http://www.ebi.ac.uk/efo/EFO_0000606	http://www.ebi.ac.uk/efo/EFO_0022397	0	1	1	False	True	2551	92	17820	
GSE137534	http://www.ebi.ac.uk/efo/EFO_0022397	http://www.ebi.ac.uk/efo/EFO_0000606	http://www.ebi.ac.uk/efo/EFO_0022397	0	1	1	False	True	1998	90	17820	
GSE80465	http://www.ebi.ac.uk/efo/EFO_0000606	http://www.ebi.ac.uk/efo/EFO_0022397	http://gemma.msl.ubc.ca/ont/TGEMO_00193,http://www.ebi.ac.uk/efo/EFO_0022397	0	1	1	False	False	5398	90	17820	
GSE46952	http://www.ebi.ac.uk/efo/EFO_0022472	http://www.ebi.ac.uk/efo/EFO_0022472		1	0	0	True	False	4244	108	17820	
GSE422	http://www.ebi.ac.uk/efo/EFO_0000606	http://www.ebi.ac.uk/efo/EFO_0022397	http://www.ebi.ac.uk/efo/EFO_0005181	0	1	1	False	False	1347	132	17820	
GSE106	http://www.ebi.ac.uk/efo/EFO_0000597	http://www.ebi.ac.uk/efo/EFO_0001332	http://www.ebi.ac.uk/efo/EFO_0001332	0	1	1	False	False	777	108	17820	
GSE57272	http://www.ebi.ac.uk/efo/EFO_0022397	http://www.ebi.ac.uk/efo/EFO_0000606	http://www.ebi.ac.uk/efo/EFO_0022397	0	1	1	False	True	3569	118	17820	
