shortName	n_strains	paper_accessible	gemma_uri	gemma_name	gpt_uri	gpt_name	basic_match
GSE161826	1	FALSE	http://www.ebi.ac.uk/efo/EFO_0000606	C57BL/6J	http://www.ebi.ac.uk/efo/EFO_0000606	C57BL/6J	TRUE
GSE20402	1	FALSE	http://www.ebi.ac.uk/efo/EFO_0007728	FVB/NJ	http://www.ebi.ac.uk/efo/EFO_0007728	FVB/NJ	TRUE
GSE27282	1	TRUE	http://www.ebi.ac.uk/efo/EFO_0000606,http://www.ebi.ac.uk/efo/EFO_0005184	C57BL/6J,DBA/2J	http://www.ebi.ac.uk/efo/EFO_0000606,http://www.ebi.ac.uk/efo/EFO_0005184	C57BL/6J,DBA/2J	TRUE
GSE17869	1	FALSE	http://www.ebi.ac.uk/efo/EFO_0022397	C57BL/6	http://www.ebi.ac.uk/efo/EFO_0022397	C57BL/6	TRUE
GSE262291	1	FALSE	http://www.ebi.ac.uk/efo/EFO_0020093	C57BL/6NTac	http://www.ebi.ac.uk/efo/EFO_0020093	C57BL/6NTac	TRUE
GSE99114	1	FALSE	http://www.ebi.ac.uk/efo/EFO_0022397	C57BL/6	http://www.ebi.ac.uk/efo/EFO_0022397	C57BL/6	TRUE
GSE137534	1	FALSE	http://www.ebi.ac.uk/efo/EFO_0022397	C57BL/6	http://www.ebi.ac.uk/efo/EFO_0022397	C57BL/6	TRUE
GSE80465	1	FALSE	http://www.ebi.ac.uk/efo/EFO_0000606	C57BL/6J	http://gemma.msl.ubc.ca/ont/TGEMO_00193,http://www.ebi.ac.uk/efo/EFO_0022397	APP23,C57BL/6	FALSE
GSE46952	1	FALSE	http://www.ebi.ac.uk/efo/EFO_0022472	CFW			FALSE
GSE422	1	FALSE	http://www.ebi.ac.uk/efo/EFO_0000606	C57BL/6J	http://www.ebi.ac.uk/efo/EFO_0005181	C57BL	FALSE
GSE106	1	FALSE	http://www.ebi.ac.uk/efo/EFO_0000597	129 mouse strain	http://www.ebi.ac.uk/efo/EFO_0001332	129S1/SvImJ	FALSE
GSE57272	1	TRUE	http://www.ebi.ac.uk/efo/EFO_0022397	C57BL/6	http://www.ebi.ac.uk/efo/EFO_0022397	C57BL/6	TRUE
GSE33263	1	TRUE	http://www.ebi.ac.uk/efo/EFO_0022397	C57BL/6	http://www.ebi.ac.uk/efo/EFO_0022397	C57BL/6	TRUE
GSE15324	1	TRUE	http://www.ebi.ac.uk/efo/EFO_0022397	C57BL/6	http://www.ebi.ac.uk/efo/EFO_0022397	C57BL/6	TRUE
GSE229423	1	FALSE	http://www.ebi.ac.uk/efo/EFO_0022397	C57BL/6			FALSE
